# DY 电源控制板功能测试用例 —— 数据源
# 字段分隔符： |   换行（在"示例响应"里）：\n
# 格式：模块|用例编号|功能项|前置条件|操作步骤|预期结果|示例响应
上电与初始化|TC-1.1|上电启动|24V 上电，调试串口已接（115200）|上电，观察调试串口输出|各任务依次启动，应打印通信任务与 LoRa 初始化信息|[INFO ] TaskComm: 通信任务已启动\n[INFO ] LoraInit: LoRa 软串口已初始化：TX=PB6 RX=PB5 MD0=1 MD1=0（透传模式），波特率 9600
上电与初始化|TC-1.2|固件版本确认|同上|查看上电日志里的固件编译时间|与本次烧录固件一致|[INFO ] TaskHeartbeat: 固件编译时间：Sep 20 2026 20:54:22
上电与初始化|TC-1.3|设备初态|同上|上电瞬间用万用表量 8 台设备端子|全部无输出（断电）|（无输出，各端子 0V）
上电与初始化|TC-1.4|12V 总控|同上|量 PE12 引脚|保持接通（不参与供电逻辑）|PE12 持续为接通电平
上电与初始化|TC-1.5|重复上下电|同上|反复上下电 5 次|每次行为一致，无死机无卡死|每次均正常启动，打印相同启动日志
准入条件|TC-2.1|未校时不供电|板子从未校时（或清空 RTC 备份域）|上电，下发一条应立即开设备的规则|8 台设备一律不给电|[WARN ] TaskPower: 上电准入：不允许（时间不可信）\n[INFO ] TaskPower: 全部设备强制关闭
准入条件|TC-2.2|校时后允许供电|接 TC-2.1|发 $BDRMC 校时（见命令表），再下发规则|准入通过，设备按规则上电|[INFO ] TaskPower: 上电准入：允许（电压合格且时间可信）
准入条件|TC-2.3|电压低于下限|已校时|把输入电压调到 <20V，下发开设备规则|全部设备断电|[WARN ] TaskPower: 上电准入：不允许（电压不合格，Vx10=185）
准入条件|TC-2.4|电压高于上限|已校时|把输入电压调到 >31V|全部设备断电|[WARN ] TaskPower: 上电准入：不允许（电压不合格，Vx10=325）
准入条件|TC-2.5|电压恢复正常|接 TC-2.3|电压调回 24V|恢复按策略供电|[INFO ] TaskPower: 上电准入：允许（电压合格且时间可信）
设备供电控制|TC-3.1|单台设备上电|已校时，准入通过|下发"开某 1 台设备"规则，等待到点时间|该设备端子有电|（对应端子测得 24V/12V）
设备供电控制|TC-3.2|状态位核对|接 TC-3.1|发 $READ，解析 $STAR 的 sensor_state|对应位置 1，其余位为 0|sensor_state = 0x80（工控机开）
设备供电控制|TC-3.3|逐台验证 8 台|同上|对 8 台设备各下发一次规则|每台都能独立开启，互不影响|sensor_state 依次出现 0x80/0x40/0x04/0x02/0x10/0x08/0x01/0x20
设备供电控制|TC-3.4|设备断电|设备已开|下发"关该设备"规则|该设备端子断电，状态位归 0|sensor_state 对应位由 1 变 0
设备供电控制|TC-3.5|24V/12V 分组|已校时|同时开一台 24V 和一台 12V 设备|两组都能正常上电|sensor_state = 0x84（工控机 + 北斗）
任务策略|TC-4.1|规则下发|已校时|发 $STR（35 条规则）|回 $ACK 且 error=00（成功）|$ACK: 24 41 43 4B 01 01 00 72 68 24 4F 56 45 52
任务策略|TC-4.2|规则回读|接 TC-4.1|发 $GETSTR|回 222 字节 $STR 包，内容与下发一致|$STR 共 222 字节，首部 24 53 54 52 01（$STR + 船号 01）
任务策略|TC-4.3|规则按时执行|接 TC-4.1|等待下发的起始时刻|到点后对应设备按规则动作|（对应端子出现输出电压）
任务策略|TC-4.4|多设备规则|已校时|下发一条规则，目标为多台设备|这些设备同时按要求动作|sensor_state 中多个位同时为 1
任务策略|TC-4.5|无效规则|已校时|下发目标设备 = 0xFF 的规则|该条不产生任何动作|sensor_state 中无新增位
任务策略|TC-4.6|规则覆盖|已下发过规则|再下发一条新的完整规则表|以新表为准，旧表被替换|$GETSTR 回读内容为新表
北斗保持与跟随|TC-5.1|搜星窗口保持|已校时|上电后 10 分钟内，下发"关北斗"规则|北斗仍保持上电|[INFO ] PowerDecide: 北斗处于搜星窗口，保持供电
北斗保持与跟随|TC-5.2|校时窗口保持|已校时|把 RTC 调到 11:50~12:00，下发"关北斗"规则|北斗保持上电|[INFO ] PowerDecide: 北斗处于校时窗口，保持供电
北斗保持与跟随|TC-5.3|上报窗口保持|已校时|把 RTC 调到每小时 52~54 分，下发"关北斗"规则|北斗保持上电|[INFO ] PowerDecide: 北斗处于上报窗口，保持供电
北斗保持与跟随|TC-5.4|跟随工控机开|已校时|手动开工控机|北斗随之开启|sensor_state 同时含 0x80 与 0x04
北斗保持与跟随|TC-5.5|跟随工控机关|接 TC-5.4|手动关工控机（不在保持窗口内，且规则未要求开北斗）|北斗随之关闭|sensor_state 的 0x80 与 0x04 同时归 0
北斗保持与跟随|TC-5.7|规则直接开北斗|已校时，工控机关闭|下发“目标设备=北斗(0x04)”的规则并到点|北斗上电（规则可直接控制北斗）|sensor_state = 0x04（仅北斗开）
北斗保持与跟随|TC-5.8|多来源互不否决|接 TC-5.7|规则要求开北斗期间保持工控机关闭|北斗持续上电，不被跟随否决|sensor_state 持续保持 0x04
北斗保持与跟随|TC-5.6|保持优先于跟随|已校时|在北斗保持窗口内关闭工控机|北斗仍保持上电|sensor_state = 0x04（北斗仍在，工控机已关）
温度保护|TC-6.1|温度采集|已校时|发 $READ，读 NTC1/NTC2/PCB|三路温度均有合理读数|$STAR: NTC1=259 NTC2=260 PCB=293（即 25.9/26.0/29.3 摄氏度）
温度保护|TC-6.2|工控机过温|设备都开着|加热 NTC2 到 >70℃ 并保持 3 秒|只关工控机，其余设备不受影响|[WARN ] Monitor: 工控机过温，关闭工控机
温度保护|TC-6.3|工控机温度恢复|接 TC-6.2|等 NTC2 降到 <50℃ 并保持 5 秒|工控机恢复供电|[INFO ] Monitor: 工控机温度恢复，解除保护
温度保护|TC-6.4|PCB 过温|设备都开着|加热 PCB_NTC 到 >85℃ 并保持 3 秒|全部设备关闭|[WARN ] Monitor: PCB 过温，关闭全部设备
温度保护|TC-6.5|PCB 温度恢复|接 TC-6.4|等 PCB_NTC 降到 <70℃ 并保持 5 秒|恢复按策略供电|[INFO ] Monitor: PCB 温度恢复，解除保护
温度保护|TC-6.6|环境温度不动|设备都开着|加热 NTC1 到 60℃ 以上|无任何动作（只采集上报）|sensor_state 不变，$STAR 中 NTC1 数值升高
温度保护|TC-6.7|瞬时干扰不误动|设备都开着|让温度短暂越过阈值（不足 3 秒）即恢复|不触发保护|sensor_state 不变
时间与校时|TC-7.1|校时|调试串口已接|发 $BDRMC,yy-MM-dd,HH:mm:ss（UTC）|无应答；板子本地时间 = UTC + 8|（无应答）；板子内部时间置为 UTC+8
时间与校时|TC-7.2|校时精度|接 TC-7.1|立刻发 $READ，读 $STAR 中时间|与 PC 当前时间偏差 < 10 秒|$STAR 时间 2026-09-20 21:02:55（PC 21:02:54，偏差 1 秒）
时间与校时|TC-7.3|时间走时|已校时|隔 1 小时再读时间|时间正常流逝，无跳变|两次读取差约 3600 秒
时间与校时|TC-7.4|掉电保持|已校时|断 24V 电源 1 分钟后重新上电再读|时间继续走（RTC 有 VBAT），不归零|时间连续，未回到 2000-01-01
时间与校时|TC-7.5|上报时间正确|已校时|发 $READ|$STAR 中年月日时分秒为本地时间|$STAR: 2026-09-20 21:02:55
通信协议|TC-8.1|$READ 读状态|U3 链路已接（115200）|发 $READ 帧|回 14 字节 $ACK（成功）+ 30 字节 $STAR|$ACK: 24 41 43 4B 01 01 00 72 68 24 4F 56 45 52\n$STAR: 24 53 54 41 52 01 EA 07 09 15 05 02 2B EE 00 03 01 04 01 25 01 04 00 CD 17 24 4F 56 45 52
通信协议|TC-8.2|$GETSTR 读策略|同上|发 $GETSTR 帧|回 $ACK + 222 字节 $STR|$STR 共 222 字节，尾部 18 64 24 4F 56 45 52
通信协议|TC-8.3|$STR 下发策略|同上|发 $STR 帧|回 $ACK 成功|$ACK: 24 41 43 4B 01 01 00 72 68 24 4F 56 45 52
通信协议|TC-8.4|$REST 重启|同上|发 $REST 帧|回 $ACK 成功，约 300ms 后板子复位|$ACK 成功后板子重启，调试串口重新打印启动日志
通信协议|TC-8.5|$BDRMC 校时|同上|发 $BDRMC,...|无应答，但时间被设置|（无应答）
通信协议|TC-8.6|CRC 校验|同上|发一帧故意改坏 CRC 的 $READ|无任何应答（帧被丢弃）|（无回复）；调试口记录“校验失败”告警日志（第 7 字节 01 = 失败）\n[WARN ] Protocol: 校验失败：收到 0xFFFF，计算 0xEB08
通信协议|TC-8.7|未知协议|同上|发 $XXXX,test|无应答，日志提示未知协议|（无应答）\n[WARN ] Protocol: 收到未知协议，已丢弃
通信协议|TC-8.8|船号过滤|同上|发船号为 02 的 $READ（本船 01）|无任何应答|（无应答）\n[INFO ] Protocol: 船号不匹配（收到 2，本船 1），已忽略
通信协议|TC-8.9|帧长稳定性|同上|连续发 $READ 30 次|每次稳定回 44 字节，不丢帧不错帧|30 次均收到 44 字节，内容一致
通信协议|TC-8.10|应答帧头|同上|检查 $ACK 首 4 字节|必须为 $ACK（24 41 43 4B）|24 41 43 4B = '$ACK'
通信协议|TC-8.11|应答原路返回|U3 与 LoRa 都接|分别从 U3、LoRa 发 $READ|从哪条链路发就从哪条回|U3 发出则 U3 收到；LoRa 发出则 LoRa 收到
双 485 链路|TC-9.1|U3 链路（工控机）|USB-485 接 U3 端子，115200|发 $READ|正常收到应答|44 字节：$ACK + $STAR
双 485 链路|TC-9.2|U2 链路（北斗）|USB-485 接 U2 端子，9600|发 $READ|正常收到应答|44 字节：$ACK + $STAR
双 485 链路|TC-9.3|两路并存|两路都接|同时从两路发命令|两路均正常，互不干扰|两路各自收到应答，无串扰
LoRa 调试通道|TC-10.1|LoRa 链路连通|对端模块 9600 接好（TXD→PB5，RXD→PB6）|从 LoRa 发 $READ 帧|收到 $ACK + $STAR|44 字节：$ACK(14) + $STAR(30)
LoRa 调试通道|TC-10.2|内容与 485 一致|同上|对比 LoRa 与 U3 收到的 $STAR|内容一致|两者电压/温度/状态位完全相同
LoRa 调试通道|TC-10.3|LoRa 船号过滤|同上|从 LoRa 发船号=02 的帧|无应答|（无应答）
LoRa 调试通道|TC-10.4|LoRa 连续收发|同上|连续发 $READ 20 次|稳定响应，不丢帧|20 次均收到 44 字节
LoRa 调试通道|TC-10.5|LoRa 校时|同上|从 LoRa 发 $BDRMC|时间被正确设置|板子时间与 PC 一致（偏差 <10 秒）
LoRa 调试通道|TC-10.6|LoRa 下发策略|同上|从 LoRa 发 $STR|回 $ACK 成功，规则生效|$ACK error=00；$GETSTR 可回读新规则
手动控制|TC-11.1|手动开设备|已校时|通过手动控制通道开某设备|设备上电，状态位为 1|sensor_state 对应位置 1
手动控制|TC-11.2|手动优先级|规则正要求某设备关|手动开该设备|手动优先，设备被开|sensor_state 对应位置 1（覆盖规则）
手动控制|TC-11.3|保护优先手动|手动开着某设备|触发 PCB 过温|保护仍生效，设备被关|sensor_state 全部归 0\n[WARN ] Monitor: PCB 过温，关闭全部设备
手动控制|TC-11.4|清除手动|手动开过设备|清除手动状态|回到按任务策略执行|sensor_state 按规则表变化
